Trial Pos Threads Depth One Two Draws Games
1776529793-4 james100.epd 4 10 33 43 124 200
1776530064-0 james100.epd 4 10 34 35 131 200
1776530064-1 james100.epd 4 10 39 38 123 200
1776530064-2 james100.epd 4 10 40 30 130 200
1776530064-3 james100.epd 4 10 40 37 123 200
1776530064-4 james100.epd 4 10 41 34 125 200
1776530335-0 james100.epd 4 10 26 37 137 200
1776530335-1 james100.epd 4 10 29 31 140 200
1776530335-2 james100.epd 4 10 39 35 126 200
1776530335-3 james100.epd 4 10 36 31 133 200
1776530335-4 james100.epd 4 10 35 38 127 200
1776530607-0 james100.epd 4 10 40 34 126 200
1776530607-1 james100.epd 4 10 35 26 139 200
1776530607-2 james100.epd 4 10 24 32 144 200
1776530607-3 james100.epd 4 10 31 33 136 200
1776530607-4 james100.epd 4 10 36 39 125 200
1776530878-0 james100.epd 4 10 36 42 122 200
1776530878-1 james100.epd 4 10 38 45 117 200
1776530878-2 james100.epd 4 10 31 40 129 200
1776530878-3 james100.epd 4 10 34 42 124 200
1776530878-4 james100.epd 4 10 25 33 142 200
1776531120-0 james100.epd 4 10 35 41 124 200
1776531120-1 james100.epd 4 10 42 28 130 200
1776531120-2 james100.epd 4 10 39 38 123 200
1776531120-3 james100.epd 4 10 35 29 136 200
1776531120-4 james100.epd 4 10 33 35 132 200
1776531391-0 james100.epd 4 10 23 43 134 200
1776531391-1 james100.epd 4 10 37 36 127 200
1776531391-2 james100.epd 4 10 39 34 127 200
1776531391-3 james100.epd 4 10 34 37 129 200
1776531391-4 james100.epd 4 10 37 40 123 200
1776531632-0 james100.epd 4 10 35 38 127 200
1776531632-1 james100.epd 4 10 38 33 129 200
1776531632-2 james100.epd 4 10 37 34 129 200
1776531632-3 james100.epd 4 10 42 30 128 200
1776531632-4 james100.epd 4 10 40 31 129 200
